Question ID,Question,Category,Difficulty Level,Tags,Answer,User Rating
1,What is the DOM in JavaScript?,Frontend Development,Beginner,"CSS, Grid, Flexbox",Use the CSS property background-image: url('path/to/image.jpg') to apply a background image.,4.1
2,"What is Bootstrap, and how is it used in web design?",Frontend Development,Beginner,"CSS, Grid","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.2
3,How do you apply a background image to a webpage?,Frontend Development,Beginner,"Basic Styling, Web Accessibility",Media queries allow you to apply styles conditionally based on screen size or device type.,4.6
4,How do you validate a form using JavaScript?,Frontend Development,Beginner,"Bootstrap, Basic Styling, JavaScript",You can use document.getElementById('id') to select an element by its ID.,4.7
5,How do you select an element by ID in JavaScript?,Frontend Development,Beginner,"Basic Styling, DOM Manipulation, Web Accessibility, Media Queries","Pseudo-classes define the state of an element, like :hover or :focus.",4.6
6,"What is the difference between inline, block, and inline-block elements?",Frontend Development,Beginner,"DOM Manipulation, Media Queries",Use the <link> tag within the <head> to include an external CSS file.,4.7
7,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"Flexbox, HTML, Responsive Design","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.9
8,How do you include an external CSS file in an HTML document?,Frontend Development,Beginner,"Forms, Media Queries, Bootstrap, Basic Styling",Use the CSS property background-image: url('path/to/image.jpg') to apply a background image.,5.0
9,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"DOM Manipulation, Web Accessibility, Responsive Design","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.3
10,How do you select an element by ID in JavaScript?,Frontend Development,Beginner,"Bootstrap, Responsive Design, Grid",Use the <link> tag within the <head> to include an external CSS file.,4.1
11,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"Grid, Media Queries, HTML",Add a JavaScript click event listener to make a button clickable.,4.6
12,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"Bootstrap, Forms, JavaScript","The <head> tag contains meta-information about the document, like title, scripts, and styles.",4.3
13,How do you include an external CSS file in an HTML document?,Frontend Development,Beginner,"CSS, Basic Styling","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",4.3
14,What are semantic elements in HTML?,Frontend Development,Beginner,"CSS, Web Accessibility, Responsive Design",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.9
15,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"JavaScript, Forms, Responsive Design",Add a JavaScript click event listener to make a button clickable.,4.2
16,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"CSS, Bootstrap, Flexbox, Grid","The <head> tag contains meta-information about the document, like title, scripts, and styles.",4.6
17,What are CSS pseudo-classes?,Frontend Development,Beginner,"DOM Manipulation, Basic Styling, Forms, Bootstrap",Use the <a> tag with an href attribute pointing to the URL. Example: <a href='https://example.com'>Link</a>.,4.4
18,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"Basic Styling, Forms, Flexbox","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.8
19,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"Basic Styling, Media Queries, Grid, Web Accessibility","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.4
20,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"Grid, HTML, Web Accessibility, DOM Manipulation",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.8
21,"What is Flexbox, and how is it used in CSS?",Frontend Development,Beginner,"Grid, CSS, Basic Styling",You can use margin: auto along with a defined width to center a div.,4.9
22,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"HTML, Basic Styling, Web Accessibility, Bootstrap",Add a JavaScript click event listener to make a button clickable.,4.7
23,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"Web Accessibility, Flexbox",Use the <link> tag within the <head> to include an external CSS file.,4.3
24,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Basic Styling, Media Queries, Web Accessibility","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.2
